asin,result
1278,"[Genre] {Science Fiction}, [Audience] {Teenagers}, [Visual Format] {3D}, [Mood] {Exciting}, [Setting] {Dystopian}."
1171,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Witty}, [Setting] {Urban}"
3911,"[Genre] {Comedy}, [Audience] {Families}, [Visual Format] {Group Photo}, [Mood] {Happy}, [Setting] {Showroom}"
47,"[Genre] {Thriller}, [Audience] {Teenagers}, [Visual Format] {Digital}, [Mood] {Suspenseful}, [Setting] {Dystopian}."
923,"[Genre] {Drama}, [Audience] {Teenagers}, [Visual Format] {Colorful}, [Mood] {Tense}, [Setting] {Cityscape}."
3273,"[Genre] {Horror}, [Audience] {Teenagers}, [Visual Format] {Stills}, [Mood] {Tense}, [Setting] {Unknown}"
899,"[Genre] {Musical}, [Audience] {Families}, [Visual Format] {Colorful}, [Mood] {Joyful}, [Setting] {Rainy}."
2762,"[Genre] {Suspense}, [Audience] {Teenagers}, [Visual Format] {Digital}, [Mood] {Tense}, [Setting] {Dystopian}."
2000,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Stills}, [Mood] {Tense}, [Setting] {Urban}."
2694,"[Genre] {Comedy}, [Audience] {Families}, [Visual Format] {Live Action}, [Mood] {Humorous}, [Setting] {Urban}."
2987,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {3D}, [Mood] {Humorous}, [Setting] {City Street}"
2951,"[Genre] {Western}, [Audience] {Adults}, [Visual Format] {Artistic}, [Mood] {Historical}, [Setting] {Desert}."
2465,"[Genre] {Horror}, [Audience] {Teenagers}, [Visual Format] {Graphic Novel}, [Mood] {Thrilling}, [Setting] {Supernatural}."
2279,"[Genre] {Sci-Fi}, [Audience] {Teens}, [Visual Format] {Graphic Novel}, [Mood] {Mysterious}, [Setting] {Urban}."
3618,"[Genre] {Crime}, [Audience] {Adults}, [Visual Format] {Silhouette}, [Mood] {Tense}, [Setting] {Urban}."
1258,"[Genre] {Horror}, [Audience] {Fans of Horror}, [Visual Format] {Poster}, [Mood] {Tense}, [Setting] {Unknown}."
2067,"[Genre] {Drama}, [Audience] {Historical Fiction}, [Visual Format] {Colorful}, [Mood] {Inspirational}, [Setting] {Rural}"
1036,"[Genre] {Thriller}, [Audience] {Adults}, [Visual Format] {Graphic Design}, [Mood] {Tense}, [Setting] {Cityscape}."
1206,"[Genre] {Action}, [Audience] {Teenagers}, [Visual Format] {Graphic Novel}, [Mood] {Adventurous}, [Setting] {Futuristic}."
316,"[Genre] {Sci-Fi}, [Audience] {Adults}, [Visual Format] {Graphic Novel}, [Mood] {Exciting}, [Setting] {Interstellar}."
440,"[Genre] {Drama}, [Audience] {Teenagers}, [Visual Format] {Live Action}, [Mood] {Inspirational}, [Setting] {Government Building}"
909,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Witty}, [Setting] {Urban}"
2318,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Animation}, [Mood] {Serious}, [Setting] {Modern}"
349,"[Genre] {Thriller}, [Audience] {Adults}, [Visual Format] {Stills}, [Mood] {Tense}, [Setting] {Political}."
3593,"[Genre] {Sci-Fi}, [Audience] {Fans of space opera}, [Visual Format] {Digital Art}, [Mood] {Tense}, [Setting] {Space}."
1287,"[Genre] {Sci-Fi}, [Audience] {Fans of space opera}, [Visual Format] {3D Animation}, [Mood] {Exciting}, [Setting] {Intergalactic}."
1732,"[Genre] {Sci-Fi}, [Audience] {Fans of Science Fiction}, [Visual Format] {Stylized}, [Mood] {Mysterious}, [Setting] {Dystopian}."
2315,"[Genre] {Horror}, [Audience] {Teenagers}, [Visual Format] {Graphic Design}, [Mood] {Thrilling}, [Setting] {Unknown}"
908,"[Genre] {Adventure}, [Audience] {Families}, [Visual Format] {3D Animation}, [Mood] {Exciting}, [Setting] {Futuristic}."
551,"[Genre] {Fantasy}, [Audience] {Families}, [Visual Format] {Animation}, [Mood] {Mysterious}, [Setting] {Nighttime}."
3180,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Humorous}, [Setting] {Urban}"
3113,"[Genre] {Horror}, [Audience] {Fans of the genre}, [Visual Format] {Graphic Design}, [Mood] {Tense}, [Setting] {Dystopian}."
2600,"[Genre] {Sci-Fi}, [Audience] {Fans of Action}, [Visual Format] {IMAX}, [Mood] {Exciting}, [Setting] {Dystopian}."
2015,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Humorous}, [Setting] {Urban}."
2826,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Digital}, [Mood] {Thrilling}, [Setting] {Medieval}"
3785,"[Genre] {Horror}, [Audience] {Fans of the genre}, [Visual Format] {3D}, [Mood] {Thrilling}, [Setting] {Movie Theater}."
1635,"[Genre] {Thriller}, [Audience] {Teenagers}, [Visual Format] {Digital Art}, [Mood] {Tense}, [Setting] {Dystopian}."
1562,"[Genre] {Action}, [Audience] {Fans}, [Visual Format] {Digital Art}, [Mood] {Thrilling}, [Setting] {Dystopian}."
1460,"[Genre] {Animation}, [Audience] {Families}, [Visual Format] {Cartoon}, [Mood] {Humorous}, [Setting] {Domestic}."
110,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {3D}, [Mood] {Adventurous}, [Setting] {Medieval}."
589,"[Genre] {Action}, [Audience] {Fans of Science Fiction}, [Visual Format] {Stills from the Film}, [Mood] {Tense}, [Setting] {Dystopian}."
1810,"[Genre] {Drama}, [Audience] {Political}, [Visual Format] {Stills}, [Mood] {Serious}, [Setting] {Political Campaign}"
724,"[Genre] {Horror}, [Audience] {Teenagers}, [Visual Format] {Stills}, [Mood] {Tense}, [Setting] {Forest}."
2947,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Stills}, [Mood] {Tense}, [Setting] {Mountainous}."
329,"[Genre] {Sci-Fi}, [Audience] {Fans}, [Visual Format] {Graphic Novel}, [Mood] {Exciting}, [Setting] {Space}"
158,"[Genre] {Horror}, [Audience] {Families}, [Visual Format] {3D}, [Mood] {Thrilling}, [Setting] {Haunted House}."
1213,"[Genre] {Crime}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Tense}, [Setting] {Urban}."
531,"[Genre] {Fantasy}, [Audience] {Families}, [Visual Format] {Illustrated}, [Mood] {Enchanting}, [Setting] {Garden}."
1234,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Humorous}, [Setting] {Urban}."
3683,"[Genre] {Thriller}, [Audience] {Teenagers}, [Visual Format] {Neon Signage}, [Mood] {Tense}, [Setting] {Nighttime Street}."
1722,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Stills}, [Mood] {Tense}, [Setting] {Modern}."
1094,"[Genre] {Horror}, [Audience] {Fans of psychological thrillers}, [Visual Format] {Monochrome}, [Mood] {Tense}, [Setting] {Unknown}."
457,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Motion Blur}, [Mood] {Tense}, [Setting] {Urban}."
